FoodName,Condition,Recommendation,Explanation,KeyNutrient,NutrientValue
Chocolate,Typhoid fever,Avoid,"Strictly avoid all sugary, processed, and heavy foods.",Sugar,
Rice,Obesity,In Moderation,"High in carbohydrates and calories. Portion control is essential.",Calories,
Bread,Obesity,In Moderation,"Choose whole-wheat over white bread, and be mindful of portion sizes.",Calories,
Eggs,Obesity,Good,"High in protein, which increases feelings of fullness and can help reduce overall calorie intake.",Protein,
Milk,Obesity,Good,"Choose low-fat or skim milk. Provides protein and calcium without excess fat.",Protein,
Chapati,Obesity,Good,"Whole-wheat chapati is a good source of fiber, which helps with satiety.",Fiber,
Apple,Obesity,Good,"High in fiber and water, making it a filling, low-calorie snack.",Fiber,
Banana,Obesity,In Moderation,"Healthy, but more calorie-dense and higher in sugar than other fruits.",Calories,
Butter,Obesity,Avoid,"Very high in calories and saturated fat with low nutritional value.",Calories,
Chicken,Obesity,Good,"Skinless chicken breast is an excellent source of lean protein.",Protein,
Fish,Obesity,Good,"Lean protein and healthy fats. Baked or grilled is best.",Protein,
Chocolate,Obesity,Avoid,"High in sugar, fat, and calories. Should be a rare treat.",Calories,
Rice,High cholesterol,In Moderation,"Choose brown rice over white for its higher fiber content, which helps lower cholesterol.",Fiber,
Bread,High cholesterol,Good,"Choose whole-grain bread, as the soluble fiber helps reduce LDL (bad) cholesterol.",Soluble Fiber,
Eggs,High cholesterol,In Moderation,"Dietary cholesterol has less impact than saturated fat, but moderation is still advised.",Dietary Cholesterol,
Milk,High cholesterol,Good,"Opt for low-fat or skim milk to reduce saturated fat intake.",Saturated Fat,
Chapati,High cholesterol,Good,"Whole-wheat chapati provides fiber which is beneficial for cholesterol levels.",Fiber,
Apple,High cholesterol,Good,"Rich in pectin, a type of soluble fiber that helps lower LDL cholesterol.",Soluble Fiber,
Banana,High cholesterol,Good,"Contains fiber and potassium, both of which support heart health.",Fiber,
Butter,High cholesterol,Avoid,"Very high in saturated fat, which directly raises LDL (bad) cholesterol levels.",Saturated Fat,
Chicken,High cholesterol,Good,"Lean protein source. Remove skin to minimize saturated fat.",Protein,
Fish,High cholesterol,Good,"Fatty fish like salmon are high in omega-3s, which lower triglycerides and support heart health.",Omega-3,
Chocolate,High cholesterol,Good,"Dark chocolate contains flavonoids that can help lower blood pressure and improve heart health.",Flavonoids,
Rice,Fungal infection,In Moderation,"Carbohydrates break down into sugar, which can feed yeast. Limit intake.",Carbohydrates,
Bread,Fungal infection,Avoid,"Contains yeast and often sugar, which can worsen a fungal (yeast) infection.",Yeast,
Eggs,Fungal infection,Good,"Excellent source of protein with no sugar or yeast.",Protein,
Milk,Fungal infection,Avoid,"Contains lactose, a type of sugar that can contribute to yeast overgrowth.",Lactose,
Chapati,Fungal infection,In Moderation,"A better option than bread as it's yeast-free, but it's still a carbohydrate.",Carbohydrates,
Apple,Fungal infection,Avoid,"Fruits are high in natural sugars, which should be avoided during a fungal infection.",Sugar,
Banana,Fungal infection,Avoid,"Very high in sugar, which can feed yeast.",Sugar,
Butter,Fungal infection,Good,"Pure fat with no sugar, generally fine on an anti-fungal diet.",Fat,
Chicken,Fungal infection,Good,"A staple of an anti-fungal diet. Plain and without sugary sauces.",Protein,
Fish,Fungal infection,Good,"Excellent protein source, especially fatty fish for their anti-inflammatory properties.",Protein,
Chocolate,Fungal infection,Avoid,"Contains high amounts of sugar.",Sugar,
Rice,Kidney stones,In Moderation,"Some studies link high intake of refined carbs to stones. Moderation is key.",Carbohydrates,
Bread,Kidney stones,In Moderation,"Whole-wheat bread is a better choice. High sodium in commercial bread can be a risk factor.",Sodium,
Eggs,Kidney stones,Good,"Not high in oxalates and a good source of protein.",Protein,
Milk,Kidney stones,Good,"Adequate calcium intake is important, as it binds to oxalates in the gut, preventing stone formation.",Calcium,
Chapati,Kidney stones,Good,"Low in sodium and a good part of a balanced diet.",Carbohydrates,
Apple,Kidney stones,Good,"Low in oxalates and a healthy part of a diet for stone prevention.",Oxalates,
Banana,Kidney stones,Good,"Low in oxalates and high in potassium, which can help prevent stone formation.",Potassium,
Butter,Kidney stones,In Moderation,"High in fat but not directly linked to stone formation. Use sparingly.",Fat,
Chicken,Kidney stones,In Moderation,"High intake of animal protein can increase the risk of certain types of stones.",Animal Protein,
Fish,Kidney stones,In Moderation,"Like chicken, high intake of animal protein should be limited.",Animal Protein,
Chocolate,Kidney stones,Avoid,"Very high in oxalate, a key component of the most common type of kidney stones.",Oxalates,
